year,hs10,rate_cd,rate_txt,adval,method,note
2017,3215110000,C,3.25%,3.25,코드 행,
2017,3215190000,C,3.25%,3.25,코드 행,
2017,3506911000,C,3.25%,3.25,코드 행,
2017,3701301000,C,3.25%,3.25,코드 행,
2017,3701309100,C,3.25%,3.25,코드 행,
2017,3701309200,C,3.25%,3.25,코드 행,
2017,3701309930,C,4.8%,4.8,코드 행,
2017,3701309990,C,4.8%,4.8,코드 행,
2017,3701991000,C,0%,0.0,코드 행,
2017,3701999100,C,0%,0.0,코드 행,
2017,3701999200,C,0%,0.0,코드 행,
2017,3701999920,C,0%,0.0,코드 행,
2017,3701999990,C,0%,0.0,코드 행,
2017,3705009010,C,3.25%,3.25,코드 행,
2017,3705009090,C,0%,0.0,코드 행,
2017,3707901010,C,3.25%,3.25,코드 행,
2017,3707901020,C,3.25%,3.25,코드 행,
2017,3707901090,C,3.25%,3.25,코드 행,
2017,3707902100,C,3.25%,3.25,코드 행,
2017,3707902910,C,3.25%,3.25,코드 행,
2017,3707902920,C,3.25%,3.25,코드 행,
2017,3707902990,C,3.25%,3.25,코드 행,
2017,3707903100,C,3.25%,3.25,코드 행,
2017,3707903910,C,3.25%,3.25,코드 행,
2017,3707903920,C,3.25%,3.25,코드 행,
2017,3707903990,C,3.25%,3.25,코드 행,
2017,3707909100,C,3.25%,3.25,코드 행,
2017,3707909200,C,3.25%,3.25,코드 행,
2017,3707909300,C,3.25%,3.25,코드 행,
2017,3707909400,C,3.25%,3.25,코드 행,
2017,3707909900,C,3.25%,3.25,코드 행,
2017,3907992000,C,3.25%,3.25,코드 행,
2017,3919900000,C,6.5%,6.5,부분 양허,- 기타
2017,3923100000,C,6.5%,6.5,부분 양허,- 기타
2017,3923900000,C,6.5%,6.5,부분 양허,- 기타
2017,4911990000,C,0%,0.0,코드 행,
2017,5911900000,C,13%,13.0,부분 양허,- 기타
2017,6307909000,C,30%,30.0,부분 양허,- 기타
2017,8414109010,C,1.5%,1.5,코드 행,
2017,8414109020,C,4%,4.0,코드 행,
2017,8414592000,C,9.75%,9.75,코드 행,
2017,8419502000,C,6.5%,6.5,코드 행,
2017,8420105000,C,6.5%,6.5,코드 행,
2017,8421293010,C,0%,0.0,코드 행,
2017,8421299010,C,6.5%,6.5,코드 행,
2017,8421399011,C,6.5%,6.5,코드 행,
2017,8421399021,C,0%,0.0,코드 행,
2017,8421399091,C,7.5%,7.5,코드 행,
2017,8421999021,C,7.5%,7.5,코드 행,
2017,8421999031,C,0%,0.0,코드 행,
2017,8421999091,C,7.5%,7.5,코드 행,
2017,8423201000,C,13%,13.0,부분 양허,- 기타
2017,8423301000,C,6.5%,6.5,코드 행,
2017,8423811000,C,6.5%,6.5,코드 행,
2017,8423821000,C,4%,4.0,코드 행,
2017,8423891000,C,13%,13.0,부분 양허,- 기타
2017,8423899010,C,6.5%,6.5,코드 행,
2017,8423901011,C,6.5%,6.5,코드 행,
2017,8423901091,C,6.5%,6.5,코드 행,
2017,8423909010,C,6.5%,6.5,코드 행,
2017,8424892000,C,4%,4.0,코드 행,
2017,8424909020,C,6.5%,6.5,코드 행,
2017,8442301000,C,6.5%,6.5,코드 행,
2017,8442302000,C,6.5%,6.5,코드 행,
2017,8442303000,C,6.5%,6.5,코드 행,
2017,8442305000,C,6.5%,6.5,코드 행,
2017,8442309000,C,6.5%,6.5,부분 양허,- 기타
2017,8442401000,C,6.5%,6.5,코드 행,
2017,8442402000,C,6.5%,6.5,코드 행,
2017,8442409000,C,6.5%,6.5,코드 행,
2017,8442500000,C,6.5%,6.5,코드 행,
